question,answer,tags
Integrated training,"train with optimal posture in all planes of motion to develop high levels of dynamic flexibility, core, strength, neuromuscular control, power, speed/agility/quickness, and functional strength","nasm-pes"
Functional continuum,"all three planes of motion, multidimensional movement, entire muscle-contraction spectrum, entire contraction-velocity spectrum, all acute variables manipulated","nasm-pes"
Neuromuscular efficiency,"ability of neuromuscular system to produce and reduce forces, and stabilize the entire HMS Stabilization strength, ability of stabilizing muscles to provide dynamic stabilization and postural equilibrium during functional activities","nasm-pes"
Force-couple,"muscles working together to produce movement around a joint (agonists, synergists, antagonists)","nasm-pes"
Integrated sports performance program,"flexibility, metabolic energy system, core, balance, plyometric, speed/agility/quickness, resistance, and sport-specific training","nasm-pes"
Exercise selection criteria,"safe, challenging, progressive, systematic, proprioceptively enriched, activity-specific","nasm-pes"
Exercise selection variables,"plane of motion, body position, base of support, lower/upper extremity symmetry, external resistance, balance modality","nasm-pes"
Exercise progression continuum,"progress exercises from: slow to fast, known to unknown, stable to unstable, controlled to dynamic functional movement, low to high force, correct execution to increased intensity","nasm-pes"
Phase 1: Stabilization Endurance,"increase stabilization strength, develop optimal nervous-muscular system communication; proprioceptive progressions; correct muscle imbalances; increase flexibility, joint and postural stabilization","nasm-pes"
Phase 2: Strength Endurance,"continue enhancing stabilization strength and endurance while increasing prime mover strength","nasm-pes"
Phase 3: Hypertrophy,"maximize muscle growth","nasm-pes"
Phase 4: Maximal Strength,"maximize prime mover strength","nasm-pes"
Phase 5: Power,"enhance prime mover strength while improving rate of force production","nasm-pes"
Phase 6: Maximal Power,"produce maximal acceleration and rate of force production; reserved for high-level athletes","nasm-pes"
Lever I,Teeter-totter Flexion-extension of the head,"nasm-pes"
Lever II,Wheelbarrow Dorsiflexion-rising up on tiptoes,"nasm-pes"
Lever III,Lifting a shovel Forearm flexion,"nasm-pes"
Length-tension relationship,"resting length of a muscle and the tension it can produce at that length","nasm-pes"
Force-velocity curve,"muscles’ ability to produce tension at differing shortening velocities","nasm-pes"
Rate of force production,"how quickly a muscle can generate force","nasm-pes"
Behavioral properties of muscle,"extensibility, elasticity, irritability, ability to develop tension","nasm-pes"
Local muscular system,"stabilization system; muscles connect directly to spine; transverse abdominis, multifidus, internal obliques, diaphragm, pelvic floor muscles","nasm-pes"
Peripheral joint support system,"appendicular skeletal muscle; poor force production; isolated stabilization function; rotator cuff, gluteus medius (posterior fibers), vastus medialis oblique","nasm-pes"
Global muscular system,"movement musculature; four distinct subsystems","nasm-pes"
Deep longitudinal subsystem (DLS),"transmits force between trunk and ground; erector spinae, thoracolumbar fascia, sacrotuberous ligament, biceps femoris, peroneus longus","nasm-pes"
Posterior oblique subsystem (POS),"transfers force from transverse to sagittal plane; works synergistically with DLS; important for rotational activities; latissimus dorsi and contralateral gluteus maximus, cross-body bridge through thoracolumbar fascia","nasm-pes"
Anterior oblique subsystem (AOS),"similar to POS on front side of body; internal and external obliques, adductor complex, hip external rotators","nasm-pes"
Lateral subsystem,"frontal plane and pelvo-femoral stability; gluteus medius, tensor fascia latae, adductor complex, quadratus lumborum","nasm-pes"
Proprioception,"cumulative neural input from sensory afferents to the CNS","nasm-pes"
Internal feedback,"information provided by length-tension relationships, force-couple relationships, and arthrokinematics to monitor movement and environment","nasm-pes"
External feedback,"information provided by an external source","nasm-pes"
Knowledge of results,"informs athlete about the outcome of performance","nasm-pes"
Knowledge of performance,"informs athlete about the quality of movement during exercise","nasm-pes"
Sensorimotor integration,"ability of CNS to gather and interpret information to execute the proper motor response","nasm-pes"
Motor behavior,"motor response to internal and external stimuli","nasm-pes"
Motor control,"how the CNS integrates sensory information with previous experience to produce a motor response","nasm-pes"
Motor learning,"integration of motor control with practice and experience; creates relatively permanent change in ability to produce skilled movement","nasm-pes"
Motor development,"change in motor behavior over a lifetime","nasm-pes"

Subjective information—personal information given by the athlete; medical history and lifestyle
Readiness for activity—collect medical history, such as past injuries, surgeries, illness, medications, and chronic
conditions before training a new athlete
Past injuries—prior injuries can have effects up and down the kinetic chain; most importantly ankle sprains, and injuries
to knee ligaments, the low back, and the shoulders
Objective information—measureable data obtained by performing assessments and observations
Physiological assessments—resting heart rate, blood pressure, body composition
Resting heart rate—70 BPM for average adult, can range from 60 to 100 BPM
